29183950|CHEMBL6163975|CHEMBL6113417|EC50|=|10.56|nM|7.98|CHEMBL6109144|F|AGONIST||
29183951|CHEMBL6160407|CHEMBL6113417|EC50|=|10.56|nM|7.98|CHEMBL6109144|F|AGONIST||
29183952|CHEMBL6145621|CHEMBL6113417|EC50|=|10.56|nM|7.98|CHEMBL6109144|F|AGONIST||
29183953|CHEMBL6176273|CHEMBL6113417|EC50|=|10.56|nM|7.98|CHEMBL6109144|F|AGONIST||
29183954|CHEMBL6144012|CHEMBL6113417|EC50|=|10.56|nM|7.98|CHEMBL6109144|F|AGONIST||
29183955|CHEMBL6172606|CHEMBL6113417|EC50|=|10.56|nM|7.98|CHEMBL6109144|F|AGONIST||
29183956|CHEMBL6145249|CHEMBL6113417|EC50|=|10.56|nM|7.98|CHEMBL6109144|F|AGONIST||
29183957|CHEMBL6171360|CHEMBL6113417|EC50|=|10.56|nM|7.98|CHEMBL6109144|F|AGONIST||
29183958|CHEMBL6171596|CHEMBL6113417|EC50|=|10.56|nM|7.98|CHEMBL6109144|F|AGONIST||
29183959|CHEMBL6162916|CHEMBL6113417|EC50|=|10.56|nM|7.98|CHEMBL6109144|F|AGONIST||
29183960|CHEMBL6152041|CHEMBL6113417|EC50|=|10.56|nM|7.98|CHEMBL6109144|F|AGONIST||
29183961|CHEMBL6149148|CHEMBL6113417|EC50|=|10.56|nM|7.98|CHEMBL6109144|F|AGONIST||
29183962|CHEMBL6171258|CHEMBL6113417|EC50|=|10.56|nM|7.98|CHEMBL6109144|F|AGONIST||
29183963|CHEMBL6147823|CHEMBL6113417|EC50|=|10.56|nM|7.98|CHEMBL6109144|F|AGONIST||
29183964|CHEMBL6164696|CHEMBL6113417|EC50|=|10.56|nM|7.98|CHEMBL6109144|F|AGONIST||
29183965|CHEMBL6168435|CHEMBL6113417|EC50|=|10.56|nM|7.98|CHEMBL6109144|F|AGONIST||
29183966|CHEMBL6150236|CHEMBL6113417|EC50|=|10.56|nM|7.98|CHEMBL6109144|F|AGONIST||
29183967|CHEMBL6150767|CHEMBL6113417|EC50|=|10.56|nM|7.98|CHEMBL6109144|F|AGONIST||
29183968|CHEMBL6174707|CHEMBL6113417|EC50|=|10.56|nM|7.98|CHEMBL6109144|F|AGONIST||
29183969|CHEMBL6143385|CHEMBL6113417|EC50|=|10.56|nM|7.98|CHEMBL6109144|F|AGONIST||
29183970|CHEMBL6167903|CHEMBL6113417|EC50|=|10.56|nM|7.98|CHEMBL6109144|F|AGONIST||
29183971|CHEMBL6147588|CHEMBL6113417|EC50|=|10.56|nM|7.98|CHEMBL6109144|F|AGONIST||
29183972|CHEMBL6148715|CHEMBL6113417|EC50|=|10.56|nM|7.98|CHEMBL6109144|F|AGONIST||
29183973|CHEMBL6148737|CHEMBL6113417|EC50|=|10.56|nM|7.98|CHEMBL6109144|F|AGONIST||
29183974|CHEMBL6134429|CHEMBL6113417|EC50|=|10.56|nM|7.98|CHEMBL6109144|F|AGONIST||
29183975|CHEMBL6169991|CHEMBL6113417|EC50|=|10.56|nM|7.98|CHEMBL6109144|F|AGONIST||
29183976|CHEMBL6148322|CHEMBL6113417|EC50|=|10.56|nM|7.98|CHEMBL6109144|F|AGONIST||
29183977|CHEMBL6147309|CHEMBL6113417|EC50|=|10.56|nM|7.98|CHEMBL6109144|F|AGONIST||
29200108|CHEMBL6152319|CHEMBL6118765|EC50|=|0.92|nM|9.04|CHEMBL6115024|F|AGONIST||
29200109|CHEMBL4556788|CHEMBL6118765|EC50|=|0.28|nM|9.55|CHEMBL6115024|F|AGONIST||
29200110|CHEMBL410972|CHEMBL6118765|EC50|=|0.71|nM|9.15|CHEMBL6115024|F|AGONIST||
29200111|CHEMBL6152319|CHEMBL6118766|EC50|=|43.3|nM|7.36|CHEMBL6115024|F|AGONIST||
29200112|CHEMBL4556788|CHEMBL6118766|EC50|=|25.6|nM|7.59|CHEMBL6115024|F|AGONIST||
29200113|CHEMBL410972|CHEMBL6118766|EC50|=|0.16|nM|9.80|CHEMBL6115024|F|AGONIST||
29264418|CHEMBL4518483|CHEMBL6140092|EC50|=|23.5|nM|7.63|CHEMBL6134892|F|AGONIST||
29264446|CHEMBL6170372|CHEMBL6140092|EC50|=|1.32|nM|8.88|CHEMBL6134892|F|AGONIST||
29264487|CHEMBL6170372|CHEMBL6140110|EC50|=|0.029|nM|10.54|CHEMBL6134892|F|AGONIST||
29264493|CHEMBL6170372|CHEMBL6140116|EC50|=|117.7|nM|6.93|CHEMBL6134892|F|AGONIST||
29264494|CHEMBL410972|CHEMBL6140116|EC50|=|1.357|nM|8.87|CHEMBL6134892|F|AGONIST||
