27353966|CHEMBL5999689|CHEMBL5732842|EC50|=|1.6|nM|8.80|CHEMBL5726519|B|||
27353969|CHEMBL5999689|CHEMBL5732843|EC50|=|33.0|nM|7.48|CHEMBL5726519|B|||
27353981|CHEMBL6027432|CHEMBL5732842|EC50|=|18.0|nM|7.75|CHEMBL5726519|B|||
27353984|CHEMBL6027432|CHEMBL5732843|EC50|=|400.0|nM|6.40|CHEMBL5726519|B|||
27353987|CHEMBL5740885|CHEMBL5732842|EC50|=|5.7|nM|8.24|CHEMBL5726519|B|||
27353990|CHEMBL5740885|CHEMBL5732843|EC50|=|100.0|nM|7.00|CHEMBL5726519|B|||
27353993|CHEMBL5805235|CHEMBL5732842|EC50|=|38.0|nM|7.42|CHEMBL5726519|B|||
27353996|CHEMBL5805235|CHEMBL5732843|EC50|=|760.0|nM|6.12|CHEMBL5726519|B|||
27353999|CHEMBL6039318|CHEMBL5732842|EC50|=|5.7|nM|8.24|CHEMBL5726519|B|||
27354002|CHEMBL6039318|CHEMBL5732843|EC50|=|130.0|nM|6.89|CHEMBL5726519|B|||
27354005|CHEMBL5845857|CHEMBL5732842|EC50|=|1.7|nM|8.77|CHEMBL5726519|B|||
27354008|CHEMBL5845857|CHEMBL5732843|EC50|=|41.0|nM|7.39|CHEMBL5726519|B|||
27354011|CHEMBL5895992|CHEMBL5732842|EC50|=|7.0|nM|8.15|CHEMBL5726519|B|||
27354014|CHEMBL5895992|CHEMBL5732843|EC50|=|190.0|nM|6.72|CHEMBL5726519|B|||
27354017|CHEMBL5920546|CHEMBL5732842|EC50|=|13.0|nM|7.89|CHEMBL5726519|B|||
27354020|CHEMBL5920546|CHEMBL5732843|EC50|=|250.0|nM|6.60|CHEMBL5726519|B|||
27354023|CHEMBL5920546|CHEMBL5732842|EC50|=|50.0|nM|7.30|CHEMBL5726519|B|||
27354026|CHEMBL5920546|CHEMBL5732843|EC50|=|870.0|nM|6.06|CHEMBL5726519|B|||
27354038|CHEMBL6021898|CHEMBL5732842|EC50|=|3.4|nM|8.47|CHEMBL5726519|B|||
27354041|CHEMBL6021898|CHEMBL5732843|EC50|=|59.0|nM|7.23|CHEMBL5726519|B|||
27354044|CHEMBL5191519|CHEMBL5732842|EC50|=|0.47|nM|9.33|CHEMBL5726519|B|||
27354047|CHEMBL5191519|CHEMBL5732843|EC50|=|5.0|nM|8.30|CHEMBL5726519|B|||
27354050|CHEMBL6046808|CHEMBL5732842|EC50|=|1.5|nM|8.82|CHEMBL5726519|B|||
27354053|CHEMBL6046808|CHEMBL5732843|EC50|=|24.0|nM|7.62|CHEMBL5726519|B|||
27354056|CHEMBL5937983|CHEMBL5732842|EC50|=|1.5|nM|8.82|CHEMBL5726519|B|||
27354059|CHEMBL5937983|CHEMBL5732843|EC50|=|29.0|nM|7.54|CHEMBL5726519|B|||
27354062|CHEMBL5835100|CHEMBL5732842|EC50|=|0.3|nM|9.52|CHEMBL5726519|B|||
27354065|CHEMBL5835100|CHEMBL5732843|EC50|=|3.8|nM|8.42|CHEMBL5726519|B|||
27354068|CHEMBL5769038|CHEMBL5732842|EC50|=|0.33|nM|9.48|CHEMBL5726519|B|||
27354071|CHEMBL5769038|CHEMBL5732843|EC50|=|13.0|nM|7.89|CHEMBL5726519|B|||
27354074|CHEMBL5914051|CHEMBL5732842|EC50|=|3.4|nM|8.47|CHEMBL5726519|B|||
27354077|CHEMBL5914051|CHEMBL5732843|EC50|=|23.0|nM|7.64|CHEMBL5726519|B|||
27354089|CHEMBL5893253|CHEMBL5732842|EC50|=|12.0|nM|7.92|CHEMBL5726519|B|||
27354092|CHEMBL5893253|CHEMBL5732843|EC50|=|140.0|nM|6.85|CHEMBL5726519|B|||
27354095|CHEMBL6046747|CHEMBL5732842|EC50|=|2.7|nM|8.57|CHEMBL5726519|B|||
27354098|CHEMBL6046747|CHEMBL5732843|EC50|=|29.0|nM|7.54|CHEMBL5726519|B|||
27354101|CHEMBL5808710|CHEMBL5732842|EC50|=|4.0|nM|8.40|CHEMBL5726519|B|||
27354104|CHEMBL5808710|CHEMBL5732843|EC50|=|48.0|nM|7.32|CHEMBL5726519|B|||
27354107|CHEMBL5931956|CHEMBL5732842|EC50|=|6.0|nM|8.22|CHEMBL5726519|B|||
27354110|CHEMBL5931956|CHEMBL5732843|EC50|=|99.0|nM|7.00|CHEMBL5726519|B|||
27354113|CHEMBL6041508|CHEMBL5732842|EC50|=|1.0|nM|9.00|CHEMBL5726519|B|||
27354116|CHEMBL6041508|CHEMBL5732843|EC50|=|19.0|nM|7.72|CHEMBL5726519|B|||
27354122|CHEMBL5819366|CHEMBL5732842|EC50|=|0.3|nM|9.52|CHEMBL5726519|B|||
27354125|CHEMBL5819366|CHEMBL5732843|EC50|=|4.4|nM|8.36|CHEMBL5726519|B|||
27354128|CHEMBL5999204|CHEMBL5732842|EC50|=|8.6|nM|8.07|CHEMBL5726519|B|||
27354131|CHEMBL5999204|CHEMBL5732843|EC50|=|140.0|nM|6.85|CHEMBL5726519|B|||
27354134|CHEMBL5748688|CHEMBL5732842|EC50|=|0.56|nM|9.25|CHEMBL5726519|B|||
27354137|CHEMBL5748688|CHEMBL5732843|EC50|=|9.6|nM|8.02|CHEMBL5726519|B|||
27354149|CHEMBL5834761|CHEMBL5732842|EC50|=|3.2|nM|8.49|CHEMBL5726519|B|||
27354152|CHEMBL5834761|CHEMBL5732843|EC50|=|39.0|nM|7.41|CHEMBL5726519|B|||
27354155|CHEMBL5796878|CHEMBL5732842|EC50|=|0.71|nM|9.15|CHEMBL5726519|B|||
