Subsystem 	 Measured 2nd Renyi Entropy 	 Standard Error  	 Numerical Simulation Unitary	 Numerical Simulation incl. Dec
1 	 0.41 	 0.02  	 0.37 	 0.39
2 	 0.56 	 0.03  	 0.44 	 0.52
3 	 0.63 	 0.04  	 0.49 	 0.62
4 	 0.69 	 0.04  	 0.51 	 0.71
5 	 0.72 	 0.05  	 0.53 	 0.77
6 	 0.72 	 0.06  	 0.52 	 0.83
7 	 0.72 	 0.08  	 0.51 	 0.87
8 	 0.8 	 0.1  	 0.46 	 0.88
9 	 0.8 	 0.1  	 0.37 	 0.85
10 	 0.4 	 0.1  	 0.00 	 0.54
