Subsystem	 Size 1 	 Size 1 Std. Err.	 Size 2 	 Size 2 Std. Err.	 Size 3 	 Size 3 Std. Err.	 Size 4 	 Size 4 Std. Err.	 Size 5 	 Size 5 Std. Err.	 Size 6 	 Size 6 Std. Err.	 Size 7 	 Size 7 Std. Err.	 Size 8 	 Size 8 Std. Err.	 Size 9 	 Size 9 Std. Err.	 Size 10 	 Size 10 Std. Err.
1	 0.940 	 0.005 	 1.68 	 0.02 	 2.28 	 0.03 	 2.40 	 0.04 	 2.76 	 0.06 	 2.46 	 0.08 	 2.4 	 0.1 	 2.1 	 0.1 	 1.6 	 0.1 	 0.5 	 0.1 
2	 0.938 	 0.004 	 1.81 	 0.01 	 2.36 	 0.02 	 3.03 	 0.04 	 2.85 	 0.06 	 3.2 	 0.1 	 2.5 	 0.1 	 2.3 	 0.1 	 1.4 	 0.1  	 	 
3	 0.928 	 0.005 	 1.878 	 0.009 	 2.60 	 0.02 	 3.02 	 0.05 	 3.17 	 0.07 	 3.4 	 0.1 	 2.4 	 0.1 	 2.2 	 0.1 	 1.2 	 0.1  	 	 
4	 0.999 	 0.002 	 1.894 	 0.009 	 2.59 	 0.02 	 3.17 	 0.04 	 3.13 	 0.07 	 2.97 	 0.09 	 2.4 	 0.1 	 2.3 	 0.1 	 1.4 	 0.1  	 	 
5	 0.992 	 0.002 	 1.912 	 0.009 	 2.62 	 0.02 	 3.04 	 0.05 	 2.84 	 0.06 	 2.93 	 0.09 	 3.2 	 0.2 	 2.0 	 0.1 	 1.4 	 0.1  	 	 
6	 0.995 	 0.002 	 1.916 	 0.008 	 2.56 	 0.02 	 2.96 	 0.04 	 2.76 	 0.06 	 3.1 	 0.1 	 3.2 	 0.2 	 1.8 	 0.1 	 1.5 	 0.1  	 	 
7	 0.994 	 0.002 	 1.85 	 0.01 	 2.43 	 0.03 	 2.85 	 0.05 	 3.08 	 0.08 	 3.2 	 0.1 	 3.0 	 0.1 	 2.8 	 0.2 	 1.3 	 0.1  	 	 
8	 0.956 	 0.004 	 1.84 	 0.01 	 2.43 	 0.03 	 2.94 	 0.04 	 3.56 	 0.09 	 3.1 	 0.1 	 3.3 	 0.2 	 2.4 	 0.2 	 1.6 	 0.1  	 	 
9	 0.957 	 0.004 	 1.78 	 0.01 	 2.18 	 0.03 	 3.06 	 0.04 	 3.48 	 0.08 	 2.85 	 0.09 	 2.8 	 0.1 	 2.4 	 0.1 	 1.3 	 0.1  	 	 
10	 0.958 	 0.004 	 1.73 	 0.01 	 2.70 	 0.02 	 3.22 	 0.05 	 3.55 	 0.08 	 3.5 	 0.1 	 2.5 	 0.1 	 2.1 	 0.1 	 1.2 	 0.1  	 	 
11 	 	 	 1.80 	 0.01 	 2.72 	 0.02 	 3.19 	 0.04 	 3.37 	 0.08 	 3.3 	 0.1 	 3.0 	 0.1 	 2.3 	 0.1  	 	  	 	 
12 	 	 	 1.901 	 0.009 	 2.77 	 0.02 	 2.96 	 0.04 	 3.49 	 0.08 	 3.2 	 0.1 	 3.1 	 0.1 	 2.5 	 0.2  	 	  	 	 
13 	 	 	 1.918 	 0.008 	 2.69 	 0.02 	 2.96 	 0.04 	 3.59 	 0.08 	 3.3 	 0.1 	 3.0 	 0.1 	 2.3 	 0.1  	 	  	 	 
14 	 	 	 1.899 	 0.009 	 2.67 	 0.02 	 3.06 	 0.05 	 3.38 	 0.08 	 3.1 	 0.1 	 3.1 	 0.1 	 2.4 	 0.2  	 	  	 	 
15 	 	 	 1.872 	 0.009 	 2.54 	 0.02 	 3.35 	 0.05 	 3.44 	 0.08 	 2.86 	 0.09 	 2.8 	 0.1 	 2.1 	 0.1  	 	  	 	 
16 	 	 	 1.77 	 0.01 	 2.61 	 0.02 	 3.24 	 0.05 	 3.37 	 0.08 	 3.0 	 0.1 	 2.7 	 0.1 	 2.4 	 0.2  	 	  	 	 
17 	 	 	 1.85 	 0.01 	 2.74 	 0.02 	 3.21 	 0.05 	 3.70 	 0.09 	 3.3 	 0.1 	 3.0 	 0.2 	 2.0 	 0.1  	 	  	 	 
18 	 	 	 1.59 	 0.02 	 2.82 	 0.02 	 3.16 	 0.05 	 3.41 	 0.08 	 3.1 	 0.1 	 3.0 	 0.1 	 2.0 	 0.1  	 	  	 	 
19 	 	 	 1.887 	 0.009 	 2.78 	 0.02 	 3.25 	 0.05 	 3.59 	 0.09 	 3.0 	 0.1 	 2.7 	 0.1 	 2.1 	 0.1  	 	  	 	 
20 	 	 	 1.86 	 0.01 	 2.69 	 0.02 	 3.37 	 0.05 	 3.21 	 0.08 	 3.5 	 0.1 	 2.7 	 0.1 	 2.4 	 0.2  	 	  	 	 
21 	 	 	 1.925 	 0.008 	 2.59 	 0.02 	 3.16 	 0.05 	 3.19 	 0.07 	 4.0 	 0.2 	 2.7 	 0.1 	 2.2 	 0.1  	 	  	 	 
22 	 	 	 1.85 	 0.01 	 2.49 	 0.02 	 3.11 	 0.05 	 3.13 	 0.07 	 3.5 	 0.1 	 3.1 	 0.1 	 2.3 	 0.1  	 	  	 	 
23 	 	 	 1.867 	 0.009 	 2.82 	 0.02 	 3.05 	 0.05 	 3.51 	 0.08 	 3.6 	 0.1 	 2.8 	 0.1 	 2.4 	 0.1  	 	  	 	 
24 	 	 	 1.853 	 0.009 	 2.72 	 0.02 	 3.28 	 0.04 	 3.62 	 0.08 	 3.2 	 0.1 	 3.0 	 0.1 	 2.1 	 0.1  	 	  	 	 
25 	 	 	 1.83 	 0.01 	 2.71 	 0.02 	 3.12 	 0.05 	 3.31 	 0.07 	 3.3 	 0.1 	 2.9 	 0.1 	 2.5 	 0.2  	 	  	 	 
26 	 	 	 1.947 	 0.008 	 2.59 	 0.02 	 3.18 	 0.05 	 3.37 	 0.07 	 3.5 	 0.1 	 2.8 	 0.1 	 2.4 	 0.2  	 	  	 	 
27 	 	 	 1.971 	 0.007 	 2.69 	 0.02 	 3.06 	 0.05 	 3.48 	 0.08 	 3.4 	 0.1 	 3.3 	 0.2 	 2.5 	 0.2  	 	  	 	 
28 	 	 	 1.954 	 0.007 	 2.80 	 0.02 	 2.88 	 0.04 	 3.61 	 0.09 	 3.5 	 0.1 	 3.0 	 0.1 	 2.1 	 0.1  	 	  	 	 
29 	 	 	 1.92 	 0.01 	 2.73 	 0.02 	 2.75 	 0.04 	 3.47 	 0.08 	 3.7 	 0.1 	 3.1 	 0.2 	 2.2 	 0.1  	 	  	 	 
30 	 	 	 1.931 	 0.008 	 2.63 	 0.02 	 2.89 	 0.04 	 3.42 	 0.08 	 3.5 	 0.1 	 2.9 	 0.1 	 2.0 	 0.1  	 	  	 	 
31 	 	 	 1.64 	 0.02 	 2.45 	 0.02 	 3.10 	 0.05 	 3.53 	 0.08 	 3.5 	 0.1 	 3.0 	 0.1 	 2.2 	 0.1  	 	  	 	 
32 	 	 	 1.934 	 0.009 	 2.70 	 0.02 	 3.05 	 0.04 	 3.55 	 0.08 	 3.5 	 0.1 	 3.1 	 0.1 	 2.2 	 0.1  	 	  	 	 
33 	 	 	 1.89 	 0.01 	 2.59 	 0.02 	 2.90 	 0.04 	 3.46 	 0.08 	 3.1 	 0.1 	 2.8 	 0.1 	 2.5 	 0.2  	 	  	 	 
34 	 	 	 1.935 	 0.007 	 2.65 	 0.02 	 2.81 	 0.04 	 3.59 	 0.08 	 3.3 	 0.1 	 3.0 	 0.1 	 2.2 	 0.1  	 	  	 	 
35 	 	 	 1.936 	 0.007 	 2.51 	 0.02 	 3.11 	 0.04 	 3.55 	 0.08 	 3.1 	 0.1 	 2.6 	 0.1 	 2.0 	 0.1  	 	  	 	 
36 	 	 	 1.80 	 0.01 	 2.42 	 0.03 	 3.54 	 0.05 	 3.13 	 0.07 	 3.1 	 0.1 	 3.0 	 0.1 	 2.3 	 0.1  	 	  	 	 
37 	 	 	 1.917 	 0.008 	 2.19 	 0.03 	 3.40 	 0.05 	 3.35 	 0.08 	 3.4 	 0.1 	 2.9 	 0.1 	 2.1 	 0.1  	 	  	 	 
38 	 	 	 1.926 	 0.009 	 2.59 	 0.02 	 3.36 	 0.05 	 3.42 	 0.09 	 3.2 	 0.1 	 3.0 	 0.1 	 2.2 	 0.1  	 	  	 	 
39 	 	 	 1.89 	 0.01 	 2.59 	 0.02 	 3.28 	 0.04 	 3.36 	 0.08 	 3.2 	 0.1 	 3.2 	 0.2 	 2.3 	 0.1  	 	  	 	 
40 	 	 	 1.60 	 0.02 	 2.67 	 0.02 	 3.37 	 0.05 	 3.31 	 0.07 	 3.3 	 0.1 	 3.0 	 0.1 	 2.2 	 0.1  	 	  	 	 
41 	 	 	 1.84 	 0.01 	 2.59 	 0.03 	 3.54 	 0.05 	 3.46 	 0.08 	 3.5 	 0.1 	 2.9 	 0.1 	 2.0 	 0.1  	 	  	 	 
42 	 	 	 1.906 	 0.009 	 2.53 	 0.02 	 3.33 	 0.05 	 3.74 	 0.09 	 3.6 	 0.1 	 3.0 	 0.1 	 2.4 	 0.1  	 	  	 	 
43 	 	 	 1.84 	 0.01 	 2.60 	 0.02 	 3.27 	 0.05 	 3.67 	 0.09 	 3.7 	 0.1 	 2.9 	 0.1 	 2.3 	 0.1  	 	  	 	 
44 	 	 	 1.81 	 0.01 	 2.46 	 0.03 	 3.24 	 0.05 	 3.57 	 0.09 	 3.5 	 0.1 	 3.0 	 0.1 	 2.1 	 0.1  	 	  	 	 
45 	 	 	 1.75 	 0.01 	 2.63 	 0.02 	 3.47 	 0.05 	 3.43 	 0.08 	 3.2 	 0.1 	 3.1 	 0.1 	 2.0 	 0.1  	 	  	 	 
46 	 	  	 	 	 2.72 	 0.02 	 3.23 	 0.04 	 3.28 	 0.08 	 3.6 	 0.1 	 3.3 	 0.2  	 	  	 	  	 	 
47 	 	  	 	 	 2.72 	 0.02 	 3.38 	 0.05 	 3.47 	 0.08 	 3.6 	 0.1 	 3.2 	 0.2  	 	  	 	  	 	 
48 	 	  	 	 	 2.56 	 0.02 	 3.08 	 0.05 	 3.64 	 0.08 	 3.3 	 0.1 	 2.9 	 0.1  	 	  	 	  	 	 
49 	 	  	 	 	 2.68 	 0.02 	 3.09 	 0.04 	 3.41 	 0.08 	 3.7 	 0.1 	 3.1 	 0.1  	 	  	 	  	 	 
50 	 	  	 	 	 2.51 	 0.02 	 3.04 	 0.04 	 3.66 	 0.09 	 3.5 	 0.1 	 2.8 	 0.1  	 	  	 	  	 	 
51 	 	  	 	 	 2.75 	 0.02 	 3.43 	 0.05 	 3.54 	 0.08 	 3.4 	 0.1 	 3.0 	 0.1  	 	  	 	  	 	 
