Subsystem 	 Measured 2nd Renyi Entropy 	 Standard Error  	 Numerical Simulation Unitary	 Numerical Simulation incl. Dec
1 	 0.945 	 0.004  	 0.94 	 0.94
2 	 1.12 	 0.02  	 1.02 	 1.09
3 	 1.26 	 0.03  	 1.11 	 1.24
4 	 1.29 	 0.03  	 1.14 	 1.33
5 	 1.36 	 0.05  	 1.17 	 1.42
6 	 1.35 	 0.05  	 1.15 	 1.47
7 	 1.37 	 0.07  	 1.14 	 1.51
8 	 1.27 	 0.09  	 1.04 	 1.48
9 	 1.2 	 0.1  	 0.94 	 1.43
10 	 0.3 	 0.1  	 -0.00 	 0.59
