Subsystem 	 Measured 2nd Renyi Entropy 	 Standard Error  	 Numerical Simulation Unitary	 Numerical Simulation incl. Dec
1 	 0.940 	 0.005  	 0.97 	 0.97
2 	 1.68 	 0.02  	 1.70 	 1.74
3 	 2.28 	 0.03  	 2.17 	 2.26
4 	 2.40 	 0.04  	 2.22 	 2.40
5 	 2.76 	 0.06  	 2.43 	 2.69
6 	 2.46 	 0.08  	 2.24 	 2.59
7 	 2.4 	 0.1  	 2.21 	 2.64
8 	 2.1 	 0.1  	 1.71 	 2.24
9 	 1.6 	 0.1  	 0.97 	 1.59
10 	 0.5 	 0.1  	 0.00 	 0.69
