Subsystem 	 Measured 2nd Renyi Entropy 	 Standard Error  	 Numerical Simulation Unitary	 Numerical Simulation incl. Dec
1 	 0.02 	 0.03  	 0.00 	 0.04
2 	 0.05 	 0.04  	 0.00 	 0.08
3 	 0.09 	 0.06  	 0.00 	 0.12
4 	 0.16 	 0.07  	 0.00 	 0.17
5 	 0.21 	 0.08  	 0.00 	 0.21
6 	 0.2 	 0.1  	 0.00 	 0.25
7 	 0.2 	 0.1  	 0.00 	 0.29
8 	 0.3 	 0.1  	 0.00 	 0.33
9 	 0.3 	 0.2  	 0.00 	 0.37
10 	 0.4 	 0.2  	 0.00 	 0.41
