CHEMBL4824781|CHEMBL1784|F|BAO_0000219|cell-based format|Activation of GLP1R (unknown origin) CRE-bla expressed in CHO-K1 cells assessed as receptor potency incubated for 1 hrs by time resolved fluorescence resonance energy transfer immunoassay
CHEMBL5097251|CHEMBL1784|F|BAO_0000219|cell-based format|Positive allosteric modulator activity at human GLP-1R expressed in HEK293 cells assessed as potentiation of EC20 GLP-1(9-36) induced cAMP accumulation in presence of IBMX relative to GLP-1(9-36)
CHEMBL5097277|CHEMBL1784|F|BAO_0000219|cell-based format|Agonist activity at human GLP-1R expressed in HEK293 cells assessed as potentiation of GLP-1(7-36) induced cAMP accumulation
CHEMBL5097278|CHEMBL1784|F|BAO_0000219|cell-based format|Partial agonist activity at human GLP-1R expressed in HEK293 cells assessed as potentiation of GLP-1(9-36) induced cAMP accumulation in presence of IBMX
CHEMBL5097282|CHEMBL1784|F|BAO_0000219|cell-based format|Agonist activity at human GLP-1R expressed in HEK293 cells assessed as potentiation of GLP-1(9-36) induced cAMP accumulation in presence of IBMX
CHEMBL5097286|CHEMBL1784|F|BAO_0000219|cell-based format|Agonist activity at human GLP-1R expressed in CHO-K1 cells assessed as potentiation of GLP-1(9-36) induced beta-arrestin recruitment
CHEMBL5097288|CHEMBL1784|F|BAO_0000219|cell-based format|Positive allosteric modulator activity at human GLP-1R transfected in rat INS-1 832/13 cells assessed as potentiation of GLP-1(9-36) induced cAMP accumulation
CHEMBL5130248|CHEMBL1784|F|BAO_0000219|cell-based format|Agonist activity at human GLP1R expressed in frozen cells assessed as increase in cAMP production measured after 1 hr by HitHunter luminescence assay
CHEMBL5130383|CHEMBL1784|F|BAO_0000219|cell-based format|Agonist activity at human GLP-1R expressed in CHO cells coexpressing beta-arrestin-2 assessed as reduction in cAMP accumulation incubated for 2 hrs under dark condition by LANCE cAMP assay
CHEMBL5130384|CHEMBL1784|F|BAO_0000219|cell-based format|Agonist activity at human GLP-1R expressed in CHO cells coexpressing beta-arrestin-2 assessed as stimulation intracellular calcium mobilization measured after 180 secs by Fluo-3-AM dye based fluorescence assay
CHEMBL5130385|CHEMBL1784|F|BAO_0000019|assay format|Agonist activity at human GLP-1R assessed as increase in ERK1/2 phosphorylation at Thr202/Tyr204 residues incubated for 20 mins by AlphaLISA assay
CHEMBL5130386|CHEMBL1784|F|BAO_0000219|cell-based format|Agonist activity at human GLP-1R expressed in CHO cells coexpressing beta-arrestin-2 assessed as increase in beta arrestin-2 recruitment incubated for 1 hr by chemiluminescence based pathHunter assay
CHEMBL5146164|CHEMBL1784|F|BAO_0000219|cell-based format|Agonist activity at human GLP-1R expressed in HEK293 cells assessed as cAMP release incubated for 20 min by HTRF analysis
CHEMBL5146214|CHEMBL1784|F|BAO_0000219|cell-based format|Agonist activity at human GLP-1R expressed in CHO cells assessed as cAMP release incubated for 20 min by HTRF analysis
CHEMBL5168494|CHEMBL1784|F|BAO_0000219|cell-based format|Agonist activity at human GLP-1R expressed in CHO-K1 cells assessed as cAMP accumulation incubated for 30 mins in presence of BETP by BETP sensitized time-resolved fluorescence assay
CHEMBL5168495|CHEMBL1784|F|BAO_0000219|cell-based format|Agonist activity at human GLP-1R expressed in CHO-K1 cells assessed as cAMP accumulation incubated for 30 mins in absence of BETP by plate reader method
