Subsystem 	 Measured 2nd Renyi Entropy 	 Standard Error  	 Numerical Simulation Unitary	 Numerical Simulation incl. Dec
5 	 1.8 	 0.1  	 1.43 	 1.87
10 	 0.9 	 0.2  	 0.00 	 1.06
