Subsystem 	 Measured 2nd Renyi Entropy 	 Standard Error  	 Numerical Simulation Unitary	 Numerical Simulation incl. Dec
5 	 1.01 	 0.09  	 0.87 	 1.12
10 	 0.6 	 0.2  	 0.00 	 0.58
