Subsystem 	 Measured 2nd Renyi Entropy 	 Standard Error  	 Numerical Simulation Unitary	 Numerical Simulation incl. Dec
5 	 1.73 	 0.09  	 1.34 	 1.74
10 	 1.2 	 0.3  	 -0.00 	 0.94
