Subsystem 	 Measured 2nd Renyi Entropy 	 Standard Error  	 Numerical Simulation Unitary	 Numerical Simulation incl. Dec
5 	 1.47 	 0.09  	 1.22 	 1.54
10 	 1.0 	 0.2  	 0.00 	 0.77
