Subsystem 	 Measured 2nd Renyi Entropy 	 Standard Error  	 Numerical Simulation Unitary	 Numerical Simulation incl. Dec
5 	 0.40 	 0.07  	 0.42 	 0.64
10 	 0.1 	 0.2  	 -0.00 	 0.50
