Subsystem 	 Measured 2nd Renyi Entropy 	 Standard Error  	 Numerical Simulation Unitary	 Numerical Simulation incl. Dec
5 	 1.28 	 0.09  	 1.06 	 1.33
10 	 0.7 	 0.2  	 0.00 	 0.65
