Subsystem 	 Measured 2nd Renyi Entropy 	 Standard Error  	 Numerical Simulation Unitary	 Numerical Simulation incl. Dec
5 	 0.78 	 0.07  	 0.74 	 0.98
10 	 0.4 	 0.2  	 0.00 	 0.54
